Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
213049,Airplane,RENO TAHOE INTL,< 1000 ft,DC-9,1,1,Unknown,4/9/02 0:00,No damage,2,ABX AIR,Nevada,Approach,Unknown,False,False,Medium,Overcast,Unknown bird - medium,N,0.0,50.0,0,No
211316,Airplane,SAN ANTONIO INTL,< 1000 ft,MD-80,1,1,Unknown,4/9/02 0:00,No damage,2,AMERICAN AIRLINES,Texas,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,100.0,0,No
212393,Airplane,LAURENCE G HANSCOM,< 1000 ft,CITATIONJET,1,1,Unknown,4/10/02 0:00,No damage,2,BUSINESS,Massachusetts,Approach,Unknown,False,False,Small,No Cloud,American kestrel,N,0.0,20.0,0,No
209563,Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,MD-80,1,1,Unknown,4/10/02 0:00,No damage,2,AMERICAN AIRLINES,Illinois,Climb,Unknown,False,False,Small,No Cloud,Unknown bird - small,Y,0.0,400.0,0,No
213968,Airplane,MERRILL C MEIGS ARPT,< 1000 ft,PA-31 NAVAJO,1,1,Unknown,4/10/02 0:00,No damage,2,BUSINESS,Illinois,Take-off run,Unknown,False,False,Large,Some Cloud,Snowy owl,Y,0.0,0.0,0,No
209662,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,A-320,1,1,Unknown,4/11/02 0:00,No damage,2,JETBLUE AIRWAYS,Florida,Landing Roll,Unknown,False,False,Large,Some Cloud,Turkey vulture,Y,0.0,0.0,0,No
212989,Airplane,CUYAHOGA COUNTY ARPT,< 1000 ft,C-421,1,1,Other,4/11/02 0:00,No damage,2,BUSINESS,Ohio,Landing Roll,Unknown,False,False,Large,No Cloud,Canada goose,N,0.0,0.0,0,No
215165,Airplane,LANAI ARPT,< 1000 ft,B-717-200,1,1,Unknown,4/12/02 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Approach,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,10.0,0,No
208719,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-82,1,1,Unknown,4/13/02 0:00,No damage,2,AMERICAN AIRLINES,Texas,Take-off run,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,No
215785,Airplane,TED STEVENS ANCHORAGE INTL,< 1000 ft,B-737,1,1,Unknown,4/14/02 0:00,No damage,2,ALASKA AIRLINES,Alaska,Take-off run,Unknown,True,False,Medium,Some Cloud,Rough-legged hawk,N,0.0,0.0,0,Yes
212646,Airplane,KLAMATH FALLS INTL,< 1000 ft,IAI ASTRA JT,1,1,Engine Shut Down,4/14/02 0:00,Caused damage,2,BUSINESS,Oregon,Approach,Unknown,True,True,Large,Overcast,Canada goose,N,126774.0,100.0,0,No
211426,Airplane,MEMPHIS INTL,< 1000 ft,A-300,1,1,Unknown,4/14/02 0:00,No damage,2,FEDEX EXPRESS,Tennessee,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,400.0,0,No
217371,Airplane,GREATER PITTSBURGH,< 1000 ft,B-737-300,1,1,Unknown,4/15/02 0:00,No damage,2,US AIRWAYS*,Pennsylvania,Landing Roll,Unknown,False,False,Medium,No Cloud,Unknown bird - medium,N,0.0,0.0,0,Yes
204906,Airplane,GREATER PITTSBURGH,< 1000 ft,DORNIER 328,1,1,Other,4/15/02 0:00,No damage,2,PACIFIC ISLAND AVIATION,Pennsylvania,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,100.0,0,No
